,dataset,last_val_loss
1217,MER-MSSHF-RH-SH-TCC-UW-VW-SST-Z500,602.3582763671875
4144,MSSHF-RH-SH-TCC-tp-UW-VW-MSLP-Z500,602.6253051757812
6317,MER-MSSHF-RH-SH-tp-UW-VW-SST,602.8106689453125
5074,MSSHF-RH-SH-t2m-TCWV-tp-UW-VW-SST-Z500,603.024658203125
4071,MSSHF-SH-TCC-TCWV-tp-UW-VW-MSLP-SST,603.169189453125
68,MER-MSSHF-RH-SH-TCC-tp-UW-VW-SST-Z500,603.1717529296875
2268,RH-TCC-TCWV-UW-VW-MSLP-Z500,603.2080688476562
1921,MER-RH-t2m-TCC-tp-UW-MSLP-Z500,603.221923828125
3684,MSSHF-RH-SH-TCC-TCWV-tp-UW-VW-Z500,603.2942504882812
1228,MER-MSSHF-RH-t2m-UW-VW-MSLP-SST,603.3034057617188
3077,MER-MSSHF-RH-TCC-TCWV-UW-VW-MSLP-SST-Z500,603.4969482421875
934,MER-MSSHF-SH-TCC-TCWV-tp-VW-MSLP-Z500,603.5740356445312
3633,MER-MSSHF-TCC-TCWV-tp-VW-MSLP-SST,603.5761108398438
5456,MER-RH-t2m-TCWV-UW-VW-MSLP-Z500,603.6773071289062
3328,MER-MSSHF-RH-UW-VW-MSLP-Z500,603.767822265625
3400,MER-MSSHF-RH-SH-tp-VW-MSLP-SST-Z500,603.7755126953125
2731,MER-RH-SH-TCC-tp-UW-VW-MSLP-SST,603.8956298828125
6867,MSSHF-RH-SH-t2m-TCC-UW-VW-MSLP,603.9403076171875
2104,MER-MSSHF-RH-TCC-UW-MSLP-Z500,604.0807495117188
4724,MER-MSSHF-RH-tp-UW-VW-MSLP-Z500,604.1139526367188
305,MSSHF-t2m-TCC-TCWV-tp-UW-VW-MSLP-Z500,604.1434326171875
3207,MER-RH-SH-TCC-UW-VW-MSLP,604.3600463867188
211,MSSHF-RH-TCC-TCWV-UW-VW-MSLP-Z500,604.7056274414062
5589,MSSHF-RH-t2m-TCC-TCWV-tp-UW-MSLP-Z500,604.7098999023438
3194,RH-SH-t2m-TCC-TCWV-tp-UW-VW-MSLP-SST,604.834716796875
5585,MSSHF-RH-t2m-TCC-TCWV-tp-VW,604.855224609375
585,MER-MSSHF-SH-TCC-TCWV-VW-SST,604.8946533203125
2202,MSSHF-RH-t2m-TCC-tp-UW-VW-SST,605.00390625
6108,MER-MSSHF-t2m-tp-UW-VW-MSLP-SST,605.0517578125
3616,MER-t2m-TCC-TCWV-UW-VW-MSLP,605.1280517578125
4717,MSSHF-RH-SH-TCC-TCWV-tp-MSLP-SST-Z500,605.3356323242188
5921,MER-MSSHF-RH-SH-TCWV-VW-Z500,605.3623657226562
1476,MER-MSSHF-SH-t2m-tp-VW-MSLP-SST-Z500,605.4091796875
5418,MER-MSSHF-t2m-TCC-TCWV-tp-UW-VW-Z500,605.5399780273438
3416,MSSHF-RH-SH-t2m-TCWV-tp-UW-VW-Z500,605.556396484375
4288,MSSHF-RH-SH-t2m-TCC-TCWV-VW-MSLP-SST,605.5962524414062
2575,MER-MSSHF-RH-SH-t2m-TCC-TCWV-tp-VW-Z500,605.6574096679688
